Jitter,Shimmer,HNR,NHR,VTL,VFER,GNE,GQ,F0,F1,F2,F3,Label
6.785714285714304e-06,0.009779794,15.708465520475022,0.05984990056534946,9.76,0.9999999946004969,0.9737844702206492,0.47431985222380324,349.39,896.24,1271.73,2803.54,1
1.8315789473684214e-05,0.0075823334,22.324216320326393,0.04287389493676271,19.11,0.9587628305334089,0.9941366196351568,0.6157175663544122,275.75,457.97,907.38,3079.36,1
0.0,0.0044297227,20.495250680163288,0.046521904530419905,28.64,0.999999977598727,0.9907437556183148,0.6456720733405307,218.25,305.5,2272.81,2895.57,1
0.00027652694610778443,0.023241935,19.6091640201963,0.04852210400286169,19.01,0.7701043678987934,0.9869159676900582,0.6179311505410774,253.77,460.23,1824.28,2735.04,1
5.3658536585365835e-06,0.008330555,23.969788533286476,0.04004839683231318,28.52,0.9999999963765897,0.9959878569394612,0.5964308453416096,276.36,306.8,2408.77,3188.28,1
1.5076923076923083e-05,0.012291072,16.999689485462717,0.055556513950290126,10.67,0.9393939329549195,0.9803684052862808,0.7447046708065345,266.1,819.86,1323.01,2673.42,1
0.0010098765432098764,0.0066547156,17.31927697436079,0.05458730720647848,10.96,0.9999999772866182,0.9817706403694176,0.6167842811476764,222.25,798.67,1373.34,2828.22,1
0.0,0.004699282,23.63345576155899,0.04059519742903959,34.47,0.9999999837177153,0.9953792047817007,0.6495453663374834,101.03,253.83,2352.7,2953.28,1
6.315205913410771e-05,0.007306102,20.819963843903306,0.04582959014752946,13.92,0.4999998952863149,0.986335982314043,0.5385512223572271,284.23,628.49,1992.15,3220.86,1
0.0,0.0039804024,23.373133879390277,0.041028782139730983,18.61,0.9999999841379609,0.9954046402997753,0.7312088878650216,231.78,470.19,1076.69,2732.33,1
4.444444444444456e-07,0.0039683026,20.669050337826512,0.04614876906969721,17.87,0.999999940731454,0.9913929211659753,0.5468167958524742,247.42,489.59,0.0,3118.23,1
0.0,0.0016626343,26.156830654061174,0.03682314820674609,30.33,0.999999976148514,0.9975516480067661,0.6310061522861503,104.38,288.51,857.15,2665.18,1
5.641025641025634e-06,0.0026495517,23.702921356810137,0.04048104212274953,27.73,0.9999999828339405,0.995721687433043,0.6170669765884639,264.99,315.54,803.03,2840.12,1
0.00022554054054054054,0.00479992,18.431133601139198,0.05146380136778909,12.06,0.9999999622221664,0.9858378916874199,0.7241454865205802,105.58,725.41,1124.05,2321.58,1
5.694915254237287e-05,0.010049594,24.021757144490515,0.03996521883836555,23.93,0.8064515968718828,0.9959916635226159,0.5702162066697806,265.06,365.59,891.95,2470.58,1
8.571428571428595e-06,0.005192348,23.05261090136999,0.041575528083025774,23.02,0.9999999934805216,0.9950614776641488,0.6977943681020234,375.32,380.03,2244.46,2705.99,1
0.0002663565891472868,0.0071815667,19.7211361708347,0.048259901954966856,28.35,0.9696969443284515,0.986989495989835,0.6663614221790463,163.03,308.6,2210.09,2929.63,1
0.00014815418239618518,0.0067852316,21.42858364586928,0.04458596297426797,16.88,0.5164221669656209,0.9861984630456642,0.6501023733575351,291.41,518.42,1816.42,2898.74,1
6.165413533834577e-06,0.0032587266,21.928735237629244,0.043613395577042594,31.23,0.9999999796218944,0.9935881934898656,0.6842581472015709,256.75,280.19,2743.23,3488.71,1
7.227722772277223e-06,0.007105006,17.78000688587213,0.05324811679128204,11.74,0.99999998602881,0.9835561880278697,0.6602418054940408,116.24,745.37,1149.45,2550.12,1
4.054054054054065e-06,0.008912782,17.636168631591275,0.05365909805649862,11.37,0.9999999936437313,0.9829545493525939,0.5231278644115919,251.34,769.38,1265.07,2660.29,1
0.0,0.003396776,24.282913087064884,0.03955240428808083,23.54,0.9999999726010519,0.99626422339553,0.6629945973678555,221.63,371.72,917.32,2374.75,1
0.0003020118343195266,0.026356714,21.303199557473995,0.044836616263198494,17.96,0.6896550760829911,0.9846422085452593,0.5050410714322676,239.39,487.28,1827.44,2752.25,1
2.7642276422764223e-05,0.019821042,16.638661381772813,0.05669364462279239,9.63,0.9374999950530503,0.9787097433700137,0.6162277944679746,285.81,909.06,1374.85,3082.32,1
0.0,0.0029307853,20.191869969404173,0.04718790750621597,23.23,0.9999999449749488,0.9897524239215845,0.549165865547542,228.56,376.74,2945.11,3519.44,1
1.9154929577464798e-05,0.007319491,23.833724156631465,0.04026782264684878,22.31,0.9444444383388206,0.995865618022301,0.7063236695718684,297.6,392.14,848.99,2595.37,1
0.0004382352941176471,0.0020079892,26.00300106167123,0.03703292081188066,25.86,0.999999968754057,0.9974753324273373,0.6459639420707753,104.76,338.35,2259.67,2400.18,1
7.169811320754736e-06,0.007814803,24.290789336779206,0.03954008657791266,27.47,0.9999999921322289,0.9962426610927099,0.7123914753734897,273.25,318.58,827.46,2229.01,1
